0,1,2,3,4,5,6,7,8
,한국아동·청소년패널조사 2018 성인용 변수 레이아웃,,,,,,,
,,,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,,,
,대영역,중영역,소영역,조사항목,하위요인,변수설명,변수명,변수유무
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,속물의,YPSY6A04,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,확신에 찬,YPSY6A05,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,인습에 얽매이지 않는,YPSY6A06,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,자화자찬의,YPSY6A07,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,가식적인,YPSY6A08,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,유머감각이 있는,YPSY6A09,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,매사에 조심스러운,YPSY6A10,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,개인주의적인,YPSY6A11,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,평범한,YPSY6A12,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,격식을 차리지 않는,YPSY6A13,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,보수적인,YPSY6A14,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,통찰력이 있는,YPSY6A15,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,관습적인,YPSY6A16,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,지적인,YPSY6A17,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,불만에 찬,YPSY6A18,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,관심이 다양한,YPSY6A19,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,정직한,YPSY6A20,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,발명의 재능이 있는,YPSY6A21,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,관심의 폭이 좁은,YPSY6A22,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,독창적인,YPSY6A23,문15
,[개인발달],[사회/정서/역량발달],[창의성],[창의적 성격],-,예의바른,YPSY6A24,문15
